tconst	averageRating	numVotes
1	5.6	1528
2	6.2	185
3	6.5	1177
4	6.2	114
5	6.1	1894
6	5.2	102
7	5.4	609
8	5.4	1636
9	5.5	80
10	6.9	5447
11	5.2	233
12	7.4	9222
13	5.7	1421
14	7.1	4025
15	6.1	727
16	5.9	1062
17	4.7	212
18	5.4	441
19	6.6	13
20	5.0	242
21	5.1	791
22	5.6	1013
23	5.4	22
24	4.4	22
25	5.7	1214
26	5.6	831
27	5.1	762
28	5.9	2591
tt0000030	5.2	639
tt0000031	5.5	740
tt0000032	5.2	310
tt0000033	5.6	775
